counter,discarded,gen_time,arrival_time,discard_time,prod_time
0,1,0,0,0.195722,-1
5,0,0,0,-1,1.31603
5,0,0,0,-1,1.89772
4,1,0,0,2.10377,-1
0,1,1.31603,1.31603,2.16449,-1
5,0,0,0,-1,2.99531
5,0,2.10377,2.10377,-1,3.29367
1,1,2.16449,2.16449,3.52007,-1
2,1,1.89772,1.89772,3.54541,-1
5,0,0.195722,0.195722,-1,3.93784
3,1,2.99531,2.99531,4.44578,-1
5,0,3.29367,3.29367,-1,5.79182
5,0,4.44578,4.44578,-1,5.79801
5,0,3.52007,3.52007,-1,6.44374
4,1,3.93784,3.93784,6.64446,-1
5,0,3.54541,3.54541,-1,6.66919
2,1,5.79801,5.79801,7.11967,-1
0,1,6.64446,6.64446,7.22008,-1
2,1,7.11967,7.11967,8.56144,-1
3,1,5.79182,5.79182,8.56483,-1
5,0,6.66919,6.66919,-1,8.72345
5,0,6.44374,6.44374,-1,9.15754
1,1,8.72345,8.72345,9.69164,-1
5,0,7.22008,7.22008,-1,10.3415
0,1,9.69164,9.69164,10.3537,-1
0,1,10.3415,10.3415,11.1389,-1
5,0,8.56144,8.56144,-1,11.6064
5,0,8.56483,8.56483,-1,11.721
5,0,9.15754,9.15754,-1,11.8594
0,1,11.6064,11.6064,11.901,-1
5,0,10.3537,10.3537,-1,12.137
2,1,11.721,11.721,12.6758,-1
1,1,11.8594,11.8594,13.5745,-1
5,0,11.1389,11.1389,-1,13.8169
5,0,12.137,12.137,-1,13.8448
5,0,11.901,11.901,-1,14.2711
2,1,13.8448,13.8448,14.4041,-1
2,1,13.8169,13.8169,15.2466,-1
5,0,12.6758,12.6758,-1,15.59
5,0,13.5745,13.5745,-1,15.7793
0,1,15.7793,15.7793,15.827,-1
0,1,15.2466,15.2466,16.0925,-1
5,0,14.2711,14.2711,-1,16.3265
5,0,14.4041,14.4041,-1,16.8265
2,1,15.59,15.59,16.8694,-1
5,0,15.827,15.827,-1,16.9138
1,1,16.8694,16.8694,18.5027,-1
5,0,16.8265,16.8265,-1,18.6956
5,0,16.0925,16.0925,-1,19.1106
5,0,16.9138,16.9138,-1,19.4794
5,0,16.3265,16.3265,-1,19.641
1,1,18.5027,18.5027,19.7595,-1
1,1,19.7595,19.7595,20.4604,-1
